Requirement Text,Type
The system shall be able to create a test environment for the web order system.,NFR
The system hardware shall be able to receive fixes and patches over an internet connection.,NFR
Yoggie shall coordinate on future enhancement and features with our organization.,NFR
"System shall allow authorized personnel within the same department to update the database directly, adhering to established access controls.",FR
"For interdepartmental requests, the system shall require approval from both a DA and faculty group member, unless submitted by a higher-level group.",FR
The system shall be able to process inter-faculty transfer requests initiated by authorized users and approved by faculty groups or higher levels.,FR
The system shall require university group approval for outgoing transfers.,FR
"The system shall be able to grant edit permissions for assets to departmental administrators, inventory users, faculty users, and university users based on their department affiliation and authorization level.",FR
The system shall be able to modify all fields of an edited asset except for identifier (ID) fields.,FR
The system shall be able to accept bulk entry files for data import.,FR
The system shall be able to automatically assign ownership of any asset to the department if the asset is assigned to a DA group member or an authorized inventory group member.,FR
The system shall be able to allow any faculty member to add inventory for all departments they have access to.,FR
The system shall allow any authorized university group member to add assets to the inventory.,FR
The system shall be able to perform bulk asset entry.,FR
The system shall be able to handle requests for case information and actions from any authorized user.,FR
The system shall be able to manage request workflows where requests require approval by authorized administrative users.,FR
The user shall be able to perform returned asset inspection and update inventory records.,FR
The system shall allow IT group members to create new spaces and modify the floor structure upon receiving an exception request from any administrative level.,FR
The system shall allow administrators and authorized inventory group members to view and approve pending requests at their level.,FR
The user shall be able to receive email notifications when their request is processed.,FR
The system shall be able to add requests to a waiting queue for processing.,FR
The system shall be able to update inventory automatically upon user receipt of a requested asset.,FR
The user shall be able to authenticate using a username and password.,FR
"A user with administrative privileges shall be able to delegate some or all their authorized actions to another user, granting them the inventory administrator role.",FR
The system shall be able to generate asset reports based on location.,FR
The system shall be able to generate reports.,FR
The user shall be able to learn and master the system within 2 to 4 hours.,NFR
The system shall be highly available during working hours with all maintenance and backup activities occurring outside of these times.,NFR
"The system shall be a web application deployable on Microsoft or Unix platforms and accessible through browsers like IE, Firefox, Chrome, Opera, or Safari.",NFR
Users shall authenticate using a username and password.,NFR
Users shall be able to access functionalities based on their assigned roles.,NFR
System shall restrict local access and maintenance of database servers to authorized IT team members only.,NFR
The system shall enforce a time limit on queries to prevent them from exceeding one minute in execution time.,NFR
The system shall be able to perform periodic backups.,NFR
The system shall be designed to facilitate future evolution and maintenance operations.,NFR
The THEMAS system shall control the heating and cooling units that are defined as part of the THEMAS system.,FR
Initialization Data,FR
"The THEMAS system shall use the information contained in the initialization data file to determine which heating and cooling
units are part of the THEMAS system.",FR
Each thermostat shall have a unique identifier by which that thermostat is identified in the THEMAS system.,FR
Each quadrant of each floor shall have a thermostat which is to be used to provide temperature data to the THEMAS system.,FR
There shall be a maximum number of heating or cooling u nits that can be on at any given time.,FR
The system shall be able to use trigger values in combination with current temperature to determine heating or cooling activation.,FR
The trigger values shall reside in an initialization file.,FR
The THEMAS system shall ensure the temperature reported by a given thermostat shall not exceed a maximum deviation value of 3 degrees Fahrenheit.,FR
The over temperature values shall reside in an initialization file.,FR
"Upon initialization, the THEMAS system shall be able to automatically turn off all heating and cooling units.",FR
The THEMAS system shall be able to determine the operational state of all heating and cooling units by issuing a power off command.,FR
The THEMAS system shall be able to accept temperature readings from thermostats only within a predefined valid range.,FR
The THEMAS system shall be able to identify when a reported temperature or a changed setting violates user-defined temperature limits.,FR
The THEMAS system shall be able to monitor temperature by comparing reported values to settings and detecting any exceeding of specified limits.,FR
The system shall be able to output the temperature status when the measured temperature (T) is within the acceptable range defined by the lower limit (LO) and upper limit (UO).,FR
The system shall be able to activate the appropriate heating or cooling unit based on a predefined temperature differential between the current temperature and setting.,FR
The THEMAS system shall be able to control all defined heating and cooling units.,FR
The THEMAS system shall be able to generate and record an event when a heating or cooling request is denied.,FR
The system shall be able to monitor thermostat and heating/cooling data to trigger specific events.,FR
The THEMAS system shall control the heating and cooling units that are designated as part of the THEMAS system.,FR
The system shall be able to translate user requests to turn on/off heating or cooling units into corresponding control commands.,FR
"Once a request to turn on or off a heating or cooling unit, the THEMAS system shall provide the necessary control signal for the unit. ",FR
The system shall be able to interpret desired heating/cooling unit and its requested ON/OFF status.,FR
"When an event occurs, the THEMAS system shall identify the event type and format an appropriate event message.",FR
The user shall be able to play or learn about Mahjong.,NFR
"The system shall be usable by users with basic PC, Macintosh, or Unix operating system knowledge.",NFR
User shall be able to play multiplayer Mahjong without requiring advanced knowledge of TCP/IP networking.,NFR
User shall be able to play Mahjong with no prior knowledge of the rules.,NFR
The user shall be familiar with a Web Server environment.,NFR
The user shall be able to configure and operate a TCP/IP server.,NFR
The user shall be able to understand basic networking concepts and access the hostname and IP address of the server running the MultiMahjongServer program.,NFR
The system shall be able to display a dialogue box explaining the nature of the error for non-fatal errors.,NFR
The system shall be able to allow continued gameplay upon encountering a non-fatal error.,NFR
The system shall be able to ensure a response time of 1 minute or less for Commanding Officer (CO) actions in both single and multiplayer modes.,NFR
The system shall be able to support concurrent multiplayer Mahjong games for up to 10 tables with a maximum of 40 players.,NFR
The system shall be able to calculate possible Chow/Pung/Kong/Mahjong moves within 5 seconds of receiving the latest discard information.,NFR
The system shall be able to exchange data with the MultiMahjongServer without encryption as the data is considered non-sensitive and poses no risk to system integrity.,NFR
The MultiMahjongServer will have no graphical user interface and will be run using a command prompt.,NFR
The MultiMahjongServer will have a graphical user interface with which the administrator of the server can get log information and change game settings.,NFR
The MultiMahjongClient will have a graphical user interface that the user will be able to interact with using a mouse and a keyboard. ,NFR
The MultiMahjongClient will have sound effects associated with the game actions.,NFR
The system shall be able to display its graphical user interface (GUI) within an 800 x 600 pixel resolution.,NFR
All graphics will be in 16 bit colour.,NFR
"When a button becomes active, it will use animation to get the user's attention.",FR
"When a player performs a Chow/Pung/Kong/Mahjong, the tiles involved will be animated.",FR
The user may click in the frame that contains the remaining wall and a frame showing the discarded tiles will be shown.,FR
"An administrators manual, explaining how to install and operate the MultiMahjongServer, will be provided.",NFR
"A users manual, explaining how to install and operate the MultiMahjongClient, will be provided.",NFR
"This documentation will be available in electronic files, and, with the exception of source code, in hard copy format.",NFR
The MultiMahjongServer will be designed to reside on a central computer (server) that is connected to a TCP/IP network and has a unique IP address.,FR
The MultiMahjongServer will allow connections from MultiMahjongClients and communicate with them using IP.,FR
The MultiMahjongServer shall act as a central relay for data between MultiMahjongClients.,FR
"The MultiMahjongServer shall automate game initialization functions including random tile order, seating positions, and storing game info.",FR
The MultiMahjongServer will contain a High Scores list with the names and scores of the top MultiMahjong players.,FR
The MultiMahjongServer will allow players on MultiMahjongClient programs to chat with each other in real time.,FR
The MultiMahjongServer will allow players on MultiMahjongClient programs to modify their own names and icons during gameplay (as opposed to only at the beginning).,FR
The MultiMahjongServer will support an architecture whereby all Computer Opponents (CO) required will reside on it instead of on the MultiMahjongClient programs.,FR
The MultiMahjongServer will have a graphical user interface with which the administrator of the server can get log information and change game settings.,FR
The MultiMahjongServer will be able to save preferences to a file and read from that file at start-up.,FR
The MultiMahjongClient must send this game initialisation information to the MultiMahjongServer so that the MultiMahjongServer can create a new game.,FR
"When a user selects the option to join an existing game, the MultiMahjongClient will retrieve a list of any games that still require players from the MultiMahjongServer.",FR
The MultiMahjongClient must send this join information to the MultiMahjongServer,FR
The MultiMahjongClient will save the user preferences in a file and read them in when the program begins.,FR
Users who create a new game will be able to change the ability level of any CO involved in the game. ,FR
Users who create a new game will be able to choose to play different variations of Mahjong rules other than those described in Section 4.3.1.,FR
"Any user who creates or joins a game will be able to upload their own JPEG or GIF image that they wish to have displayed above their name, if they do not wish to use a preset icon.",FR
"The MultiMahjongClient must only allow players to make moves according to the Chinese rules of Mahjong as described in the rulebook, How to Play Mah Jong.",FR
The MultiMahjongClient will inform the user whose turn it is to pick up a tile.,FR
The MultiMahjongClient will inform the user of legal Chow/Pung/Kong/Mahjong options under Chinese rules and send chosen actions to the MultiMahjongServer.,FR
"User's will be able to pick up a tile from the wall if it is their turn. If they choose to pick up, the MultiMahjongClient must send this information to the MultiMahjongServer.",FR
"User's will be able to discard a tile if they have picked one up. When they choose to discard, the MultiMahjongClient must send this information to the MultiMahjongServer",FR
The MultiMahjongClient shall inform the user if another player is fishing.,FR
The MultiMahjongClient shall inform the user if another player goes Mahjong.,FR
The MultiMahjongClient shall inform the user if the hand has ended in a draw.,FR
The MultiMahjongClient will keep the user's tiles in order.,FR
The MultiMahjongClient will play sound effects associated with certain game actions.,FR
Users will be able to turn the sound on or off at any stage during the game.,FR
Users will be able to view the High Scores list that is located on the MultiMahjongServer,FR
Users will be able to Undo their last move if playing in single player mode.,FR
The MultiMahjongClient will automate the picking up of a tile from the wall if the user has no other option.,FR
Users will be able to Save their game if playing in single player mode.,FR
User's will be able to chat with each other in real time.,FR
User's will be able to change their icons/pictures and names during the game.,FR
The game will end when all 4 rounds have been played or if the user chooses to end the game.,FR
The user will be able to end the game at any stage of the game.,FR
The MultiMahjongServer will inform all MultiMahjongClients connected to the game that the game has ended,FR
"If a user leaves the game prematurely, a new CO is created on another user's machine to fill their place. ",FR
The CO must play moves according to the Chinese rules of Mahjong.,FR
The CO will not have access to the data containing the faces of any tiles in the wall or any concealed tiles in any other players' hands.,FR
"The CO will be able to pick up tiles off the wall, discard tiles, reveal Kongs, and Chow/Pung/Kong/Mahjong.",FR
The CO will have access to the number of tiles in the wall or in a player's hand.,FR
The CO will be able to read any player's exposed or revealed hands.,FR
"The CO will be able to determine what tiles have not been played according to the tiles that have already been discarded, exposed or revealed.",FR
"The CO will be able to recognise ""almost finished"" sets of tiles (i.e. 2 tiles in a sequence is an almost finished Chow) and will not discard tiles in such sets. ",FR
"The CO will be able to play at 3 different ability levels: Beginner, Intermediate and Advanced.",FR
The CO will be able to perform look ahead algorithms to determine its best move in the Intermediate and Advanced levels.,FR
The CO will be able to perform calculations at any stage of the game.,FR
The CO will be able to play any version of the rules that are specified by the user who creates the game.,FR
There will be CO's of different playing styles that the user can choose from.,FR
The TCS shall have the functionality to allow the operator to generate a UAV mission plan.,FR
The TCS shall have the functionality to receive and process UAV mission plans from service specific mission planning systems.,FR
The TCS shall have the functionality to transmit UAV mission plans to service specific mission planning systems.,FR
The TCS shall facilitate automated processing of mission plan data received via C4I interfaces in order to extract the appropriate mission planning data.,FR
The TCS shall have the functionality to receive and process UAV mission plans from other TCSs.,FR
The TCS shall have the functionality to transmit UAV mission plans to other TCSs.,FR
"A Mission Plan shall include a Flight Route Plan for a selected AV, a Payload Plan for the selected
payload, and a Communications Plan.",FR
"The TCS shall be capable of storing a minimum of 500 mission plans under unique names to allow for later
retrieval. ",FR
"The TCS mission planning function shall provide a graphical user interface that gives the operator the
ability to define waypoints on a map based display using a pointing device with full keyset redundancy.
",FR
"The TCS shall provide the capability to compute the range and bearing between two geographic positions
on the map display.",FR
"The TCS shall have the capability to import as well as create and modify map display overlays for fire support coordination measures [SSS547], airspace control measures [SSS548], and threat identification measures. [SSS060]
",FR
"The TCS shall allow the operator to enter as well as review mission plan parameters, including AV flight parameters, payload control parameters, data link control parameters, AV VCR control parameters (if
applicable to the selected AV), and AV loiter patterns. [SSS068]",FR
The TCS shall provide the system functionality necessary to upload a flight route plan and payload plan (if applicable) to the AV via the selected system data link as well as direct ground connection.,FR
"TCS shall provide the capability for the operator to retrieve a mission plan for viewing, modification, as well as deletion at the operator's discretion [SSS071], and allow the operator to save the mission plan under a different name, for future retrieval",FR
The TCS shall notify the operator of all discrepancies found during the mission plan check as well as indicate successful completion of the mission plan check.,FR
"The TCS shall provide the capability to override validation faults after the fault is acknowledged by the
operator. ",FR
The TCS shall allow the operator to set the LOL delay timer(s) during mission planning.,FR
"The Flight Route Plan, as a minimum, shall include AV flight path information, Loss of Link plan, AV VCR control tasking (if applicable to the selected AV), and data link control information.",FR
The TCS shall allow the operator to define the desired AV route in waypoint format,FR
The TCS shall provide the capability to enter waypoint data in alphanumeric format.,FR
The TCS shall present to the operator the estimated time of arrival and fuel status at each programmed waypoint of the proposed mission plan.,FR
"At every waypoint and every 5 minutes, the TCS shall compute the AV's flight range based on remaining fuel.",FR
"The TCS shall provide the capability to modify the maximum number of threats displayed, when de-clutter is selected.",FR
A de-clutter capability shall be provided that allows the operator to display only a selected number of the most significant threats.,FR
The TCS shall provide the capability to display waypoint data in alphanumeric format.,FR
"The TCS shall have the capability to load a map onto the display, to zoom in and out, to scroll, to print, and to clear a map on the map display.",FR
The TCS shall provide the operator with a clearly indicated map scale.,FR
The TCS shall be able to generate payload planning information to be uplinked to the AV separate from a flight route plan,FR
"The TCS shall provide the system functionality necessary to generate a payload plan that, as a minimum, shall include the following information:",FR
"The TCS will have the capability to control and monitor an AV, payload, data link, and C4I interfaces during the execution of a mission.
",FR
"While flying two MAE AVs Beyond Line Of Sight (BLOS), the TCS shall provide full control functionality of each AV. ",FR
The TCS shall transmit command and control information to the AV via the uplink to the AV,FR
"The TCS shall be capable of being interoperable with Predator and Outrider UAVs across the 5 levels of
UAV interaction.",FR
The TCS shall have the capability to control and monitor multiple types of AVs.,FR
TCS shall notify the operator when AV performance parameters are out of limits.,FR
The TCS shall provide the capability to pass control of an AV to another TCS,FR
The TCS shall provide the capability to control the AV flight commands as well as to release the AV to an autonomous flight control mode.,FR
AV telemetry data shall be available to support other TCS functions as required.,FR
The TCS shall provide the capability to control the flight of the selected AV in accordance with the specific AV's operational performance capabilities.,FR
The TCS shall provide the capability to fully control and display the AV's Identification Friend or Foe (IFF).,FR
"The TCS shall provide the capability to enter AV preset limits which, as a minimum, will include airspeed limits, altitude limits, and fuel limits.",FR
The TCS shall allow the operator to control an AV using the LOS as well as SATCOM data links.,FR
The TCS shall provide the necessary system capabilities required for AV flight control BLOS via uplink command to two MAE air vehicles.,FR
"The TCS shall support operation of the AV via all flight modes, to include manual controls.",FR
"The TCS shall provide the capability to implement an emergency action plan, if supported by the AV, to control the AV during equipment failures.",FR
The TCS shall provide interactive displays necessary to command the flight of an AV.,FR
The TCS shall allow the operator to command the flight behavior characteristics inherent to the selected AV.,FR
"The operator shall have the capability to initiate as well as change, to include as a minimum manual override, flight behaviors by sending the proper control commands to the UAV.",FR
The TCS shall have the capability to command the AV to use the navigation methods inherent to the selected AV.,FR
"The operator shall have the capability to initiate as well as change, to include as a minimum manual override, UAV navigation methods by sending the proper control commands to the UAV. ",FR
"The TCS shall provide the functionality to control, monitor, and display the operation of the Air Data Terminal (ADT).",FR
The TCS shall provide the functionality to control the ADT antenna.,FR
"The TCS shall provide the functionality to control the power, transmitter signal strength, and frequencies used by ADT for data link communication.",FR
"As an objective, the TCS shall support an automatic launch and recovery system.",NFR
"As and objective, the TCS shall be interoperable with the Integrity Beacon Landing System (IBLS)",NFR
"TCS shall provide the capability to monitor specific telemetry elements real-time, and record all telemetry elements for future review and processing.",NFR
"The TCS shall display the AV status, to include but not be limited to the AV location and flight and avionics system status.",FR
"When the data link is interrupted, the TCS shall present the last known AV status values and the time at which the last values were reported. ",FR
"The TCS shall be capable of displaying fuel parameters to the operator to include as a minimum, remaining fuel, flow rate, and bingo fuel.",FR
"The TCS shall compute the estimated position of the AV during Loss of Link (LOL) based upon the last known AV position and anticipated flight path based on current flight mode (e.g. flight route plan mode, emergency flight route plan mode, maintain current heading mode).",FR
TCS shall display a LOL timer to the operator initiating a LOL onset.,FR
The TCS shall be capable of being interoperable with the installed payloads across the 5 levels of UAV interaction.,NFR
The TCS will have the capability to control and monitor the AV payload(s).,FR
The TCS shall have the capability to receive data from and control payloads on an AV that is being controlled from another TCS.,FR
The TCS shall provide the necessary system capabilities required for payload control beyond line of sight via uplink command of two air vehicles of the same type using sequential communication techniques.,NFR
"The TCS shall receive, process, and present payload data to the operator so that the status of the payload can be determined.",NFR
The TCS shall permit the operator to control the payload using all methods supported by the payload installed in the selected AV,NFR
The TCS shall provide a graphical user interface display for the purpose of controlling the payload,FR
The TCS shall provide override of payload automated as well as preprogrammed inputs.,FR
TCS shall provide the capability to monitor payload adherence to the uplinked mission plan.,FR
The TCS shall display the current search footprint and the search history of the payload on the map.,FR
The TCS shall have the capability to simultaneously control and monitor a line-of-sight as well as a BLOS data terminal.,FR
"The TCS shall be capable of interfacing with the specified data terminal and issuing data link terminal commands required to establish, control, and maintain the data link with a selected AV.",FR
"Data terminal control shall include, but is not limited to, antenna pointing control, transmitter control, and receiver control.",FR
The TCS shall be capable of automatically selecting the proper mode of operation for the selected data terminal.,FR
" As a minimum the TCS LOS data terminal control modes shall include acquisition, autotrack, search,manual point, omni directional, as well as directional modes of operation, if applicable to the selected data link.",FR
"The operator shall be able to manually override any automatic data terminal control mode selection if desired, except during Emission Control (EMCON) and Hazards ofelectromagnetic Radiation to Ordnance (HERO) conditions.",FR
The TCS shall support a LOS data link and SATCOM data link capability,FR
"For shipboard operations, the TCS shall provide the capability to switch to a second LOS antenna, if a second antenna is available, when desired.",FR
"The TCS shall provide an interactive display for the purpose of controlling the data link terminal.
",FR
The TCS will interface with external systems to conduct mission coordination and operations.,FR
The system shall remotely monitor the status and operational changes of wind power plant and network devices.,FR
"The system should be able to handle parameter changes in three ways: single parameter, subset of settings, and pre-defined parameter set switching.",FR
"The system shall manage the entire software lifecycle, including version control, download, activation, and retrieval.",FR
The system shall deliver data from its originator to its destination with an acceptable residual error rate to ensure non-corruption of transferred data.,NFR
"The system shall encrypt data items to prevent unauthorized access, tampering, and eavesdropping.",NFR
"The system shall be able to retransmit, reconstruct, or reprocess data to ensure its reliability in case of loss or inaccessibility.",NFR
The APAF system shall acquire from ESOC the telemetry data of the ASPERA-3 Experiment and Mars Express Orbit/Attitude.,FR
The APAF system shall process all ASPERA-3 science data into IDFS data sets. ,FR
"The APAF system shall process the engineering and ancillary information necessary for calibration and science validation
into IDFS data sets.",FR
Intermediate files of cleaned-up ASPERA-3 and MEX OA telemetry shall be generated in the event that cleaned-up telemetry is not provided by ESOC.,FR
The ASPERA-3 and MEX OA telemetry data shall be stored on a local SwRI archive.,FR
The ASPERA-3 and MEX OA IDFS data sets shall be stored on a local SwRI archive,FR
Any APAF-generated intermediate files of ASPERA-3 and MEX OA cleaned-up telemetry shall be stored on a local SwRI archive.,FR
Web-based displays of the most current ASPERA-3 data shall be provided for public view.,FR
Web-based displays defined by the ASPERA-3 team shall be provided where any available ASPERA-3 data (as opposed to just the most current) can be used for science analysis.,FR
The web-based displays defined by the ASPERA-3 team to be used for science analysis shall be password protected until the ASPERA-3 data is made public.,FR
The APAF ground data system shall have built-in error handling.,NFR
ASPERA-3 and MEX OA IDFS data and any APAF-generated intermediate files of ASPERA-3 and MEX OA cleaned-up telemetry shall be provided to all ASPERA-3 Co-Is.,FR
IDFS data access software developed by SwRI shall be made available to the ASPERA-3 Co-Is.,FR
Science analysis software developed by SwRI to analyze IDFS-formatted data shall be made available to the ASPERA-3 Co-Is.,FR
The APAF system web server shall be password protected where appropriate to allow only pertinent ASPERA-3 team members access. ,NFR
There shall be a UNIX-based APAF system development computer. ,NFR
There shall be a UNIX-based APAF system production computer with an archival system. ,NFR
There shall be a web server for the APAF system,NFR
There shall be a network connection between SwRI and NISN. ,NFR
SwRI shall provide APAF system maintenance.,NFR
SwRI shall provide software support for the APAF system.,NFR
"Science analysis software shall be integrated into the NASA approved data repository. 
",NFR
ASPERA-3 data shall be provided to NASA PDS no later than 6 months after acquisition.,NFR
"Program will have a simple, graphically appealing interface designed for sixth graders.",NFR
Software will run on most computers since it only requires Macromedia Flash and HTML.,NFR
"The system shall utilize a web browser compatible with the Flash plug-in (requirements in ""Playback"" section).",NFR
The system shall be able to present an introductory cinematic to establish the game's narrative and provide in-game tutorials to aid users in solving fraction problems.,FR
The user shall be able to terminate the introductory movie and return to the main menu by clicking the mouse.,FR
"The system shall offer a menu with in-game help, a link to play the game, and a link to the Denominators' web page.",FR
The user shall be able to initiate the game by clicking a button or learn more by following a link to the Denominators' web page.,FR
The user shall be able to select a button to proceed either to the game sequence component or the Denominators' web page.,FR
The system shall be able to generate a series of multiple-choice fraction questions that form a cohesive storyline to introduce a specific topic.,FR
The user will respond to questions by clicking on the desired answer from a set of choices,FR
The user shall be able to end the game or return to the main menu by clicking with the mouse.,FR
The user shall be able to choose between returning to the main menu or exiting the game.,FR
The user shall be able to see their overall score and a plot conclusion to their answers to key story questions.,FR
"The user shall input new data through pulldown menus and text fields, navigating between pages with separate questions by clicking a button.",FR
The user will follow a number of links to World Wide Web documents.,FR
The product will be as secure as the web browser that will run the product.,NFR
The product will be available over the Internet via the S2S website.,NFR
"Reliability will be ensured by extensive testing by the team members and mentors, if available. 
",NFR
"The system shall be maintainable through modular code structure, allowing for easy future modifications by separating functionalities into subscenes within the main Flash game.",NFR
The BE system shall be able to monitor and acknowledge receipt of all data received from the Monitor and Control System (M&C).,FR
The BE system shall be able to detect and report interruptions of data delivery from the Correlator to M&C.,FR
The BE system shall verify successful delivery of output to the e2e,FR
The BE system shall be able to ensure the secure delivery of all internal messages.,FR
"The BE shall be able to handle lag sets up to a maximum size of 262,144 values",NFR
The BE system shall be able to receive data packets from the Correlator on the Backend network interface.,FR
The BE shall verify the successful receipt of incoming data from the Correlator.,FR
The BE shall store input data records in a memory buffer and track buffer locations of all input data until data processing is complete.,FR
"The BE shall respond to incoming correlator mode changes, user optional processing sequence and/or parameter changes, and other external inputs that affect the data processing pipeline.",FR
"The system shall be able to validate and monitor time series data for correct order, valid values, and out-of-tolerance conditions.",FR
The BE shall replace all invalid data with zero values.,FR
The BE shall be able to apply normalizations based on reported data invalid counts. ,FR
The BE shall be able to apply corrections based on state count and/or quantizer power measurement data. ,FR
The BE shall be able to make time stamp adjustments as required by the observational mode and correlator output parameters.,FR
The BE shall be able to perform Fourier Transform the lag set time series. ,FR
The BE shall be able to apply user selected frequency domain processes.,FR
The BE shall combine the finished spectra with meta and auxiliary data to form suitably formatted output data sets.,FR
The BE shall send output data to the e2e System.,FR
"The BE shall verify that all sent data was successfully
received. Report all errors. ",FR
"The system shall be able to monitor the overall data processing rate, compare it to tolerances, and report any deviations from those tolerances.",NFR
"The BE shall trap, flag and repair infs, NaNs, underflows, overflows and other computation errors.",NFR
The BE shall periodically or upon request check PIDs and assure that all started tasks are alive and running.,NFR
The BE shall periodically or upon request check Backend physical processors and assure that all needed processors are alive and responding,NFR
The BE shall periodically or upon request check all Backend internal networks and assure that all communication connections are intact and functioning,NFR
The BE shall be able to initiate a processing task on any Backend processor. ,FR
The BE shall be able to signal a kill for any Backend process. ,FR
The BE shall be able to alter the priority of any of the BE tasks,FR
The BE shall be able to initiate a reboot of any Backend a physical processor. ,FR
The BE shall be able to initiate a reboot of any internal network.,FR
The BE shall be able to redistribute internal workload among its processors. ,FR
"The system shall be able to fully reconstruct the raw, original input data from the processed output.",NFR
The system shall maintain a memory buffer to store lag frames and track the status of each record in the buffer.,FR
The system shall utilize a memory buffer with backup disk storage to store all processed spectra.,FR
"The system shall manage names, positions in sequence, and adjustable parameters for all processing pipeline applications.",FR
"The system shall generate warning reports including warning number, source, rates (if applicable), and time stamp.",FR
"The system shall produce failure reports indicating internal system component failures, including error number and time stamp.",FR
"The system shall provide status reports on the functional state of internal system components such as processes, processors, and networks.",FR
"The Backend System shall ensure input data fidelity and dynamic range integrity across all processing, manipulation, and I/O functions.",NFR
The system shall be capable of flagging and marking corrupted data segments and proceeding without interruption or effect on other data. ,NFR
The BE System shall be capable of accepting an aggregate data input stream from the Correlator of a minimum of 1.6 Gbytes/sec.,NFR
The BE System shall be capable of delivering an output data stream to the e2e System of a minimum of 25 MBytes/sec,NFR
The total processor capability of the BE System shall be sufficient to accomplish all processing tasks while avoiding loss or delay on the input and output data streams.,NFR
The BE System shall have sufficient (amount TBD) memory with sufficient (rate TBD) access speeds to accomplish all processing tasks while avoiding loss or delay on the input and output data streams,NFR
"All math/science application software shall take optimal advantage of all language, compiler, and system computational features and resources to reduce run times to the minimum practical level.",NFR
"All management software functions shall take optimal advantage of all language, compiler and system features and resources to reduce overheads to the minimum practical level.",NFR
"All input and output, and storage and retrieval operations shall take optimal advantage of all system resources to reduce overhead and latency to the minimal practical level. ",NFR
All data processing functions shall be chainable (outputs pipeable to inputs) and repeatable in the processing pipeline in cases where this makes computational sense. ,NFR
"The system shall use industry-standard, commonly available, and widely used operating system, message passing middleware, and programming languages.",NFR
"The system shall be able to self-monitor and automatically take actions to address various issues including hardware failures, software crashes, performance degradation, errors, and communication disruptions.",NFR
The software part of the system shall be able to perform without total system restart due to internal failure between array maintenance windows.,NFR
"The hardware part of the system shall be able to perform indefinitely without complete loss of service, except in the event of total failure of primary and backup power. ",NFR
The system shall be capable of responding in a loss-less manner to I/O and processing changes arising from Correlator mode changes.,NFR
The system shall continue to operate in a loss-less manner in the event of a temporary (time duration TBD) loss of availability of the e2e System. ,NFR
"The system shall be able to complete processing of all onboard data, deliver the results to the End-to-End System and maintain availability for immediate resumption of operations once Correlator access is restored.",NFR
"All system processing and interconnect hardware shall be readily accessible for maintenance, repair, replacement and/or reconfiguration",NFR
All systems and application source code shall be available to or on the systems that execute it.,NFR
Software tools and pre-built applications that do not have source code available shall come with a complete diagnostic package and customer support. ,NFR
Operating system software shall either have source code available or come with sufficient diagnostics and customer support.,NFR
"I/O, communications, and processing hardware shall be easily expandable, reconfigureable, augmentable and replaceable to meet increasing data transfer and processing demands imposed by EVLA science, Correlator changes, and availability of new hardware.",NFR
"Above, shall be accomplished in manner that is transparent to processing, communications and I/O software functions with the possible exception of recompilation of executables. ",NFR
The system shall be able to operate seamlessly at its interfaces with hardware modules and software functionality.,NFR
The Backend system shall ultimately be scaleable to an extent that it will be capable of handling up to two Gbytes per second per Correlator output channel in real-time.,NFR
All users of the system shall login using some form of unique identification.,NFR
A system administrator shall have unrestricted access to all aspects of the system.,NFR
Each user shall have a set of system access properties that defines the user's privileges within the system. ,NFR
The administrator shall have the ability to create and add a new user to the system. ,NFR
The administrator shall have the ability to remove a user from the system.,NFR
The administrator shall have the ability to edit a user's system access properties.,NFR
The administrator shall have the ability to block all access to the system for all users or selectively by user. ,NFR
The system shall be able to handle non-real-time operations in a transparent fashion.,NFR
Modular design principles shall be employed to the maximum extent possible,NFR
Complete and comprehensible hardware systems  specifications and configuration information shall be readily available,NFR
Software system and application code shall be well documented and written in a generally familiar language or languages (preferably not more than two).,NFR
"Wherever applicable, all computers and peripherals shall be powered though UPS type devices with sufficient capacity for the computers to safely coordinate a system wide shutdown of the correlator hardware in the event of a prolonged power outage",NFR
"All computers within the CMCS system shall have the ability for authorized users to directly access individual systems for maintenance and monitoring through remote logins.
",NFR
Each computer system in the CMCS shall have a hardware based watchdog timer configured to reboot the system in the case of a system hang.,NFR
The CMIB shall conform to both electrical and physical PC104+ standards,NFR
"The CMIB shall be able to function as a real-time computer with at least 64MB of RAM, storage, various ports, and network connectivity.",NFR
"The system shall support real-time correlator operations, hardware monitoring/control, and PLD/FPGA personality updates over the network.",NFR
"The MCCC shall be a high availability type generalpurpose computer capable of supporting multiple Ethernet interfaces, COTS operating systems, and support server/host services for the CMIB operating system.",NFR
The MCCC shall have all required disk and file system facilities installed locally such that the system can boot and run in a stand-alone configuration.,NFR
"The CPCC shall be able to function as a high availability computer for real-time correlator operations, hardware monitoring/control, and remote PLD/FPGA updates.",NFR
The CPCC shall have all required disk and file system facilities installed locally such that the system can boot and run in a stand-alone configuration. ,NFR
"The CMCS processors shall be capable of responding to correlator hardware inputs (interrupts) in a deterministic fashion with sufficient performance to avoid data loss, corruption or overflows.
",NFR
"The system shall function as a high availability computer for real-time tasks including correlation, hardware management, and remote updates.",NFR
"All system error and debug messages shall be categorized in a logical fashion such that message traffic can be filtered as to content, detail, and message rate.",NFR
All messages passed between CMCS system layers shall have both UTC and wall clock time stamp information appropriate for the message type.,NFR
"Software shall be provided that allows an authorized user full access to all messaging, monitor, and control traffic throughout the CMCS.",NFR
The BE shall verify the successful receipt of incoming data from the Correlator.,NFR
